“tag" "stype" "vpam" "saham" "tsam" "vpas" "sahas" "tsas" "type"
"TCGA-A7-A13E" "Control" "0.000" "0.000" "0.001" "0.001" "0.000" "0.000" "Normal"
"TCGA-BH-A0B3" "Control" "0.006" "0.018" "0.000" "0.004" "0.006" "0.007" "Normal"
"TCGA-BH-A0E0" "Control" "0.045" "0.102" "0.000" "0.026" "0.036" "0.033" "Normal"
"TCGA-BH-A1F0" "Control" "0.001" "0.000" "0.002" "0.001" "0.000" "0.000" "Normal"
"TCGA-A7-A0D9" "Control" "0.000" "0.000" "0.000" "0.000" "0.000" "0.000" "Normal"
"TCGA-BH-A0B8" "Control" "0.001" "0.000" "0.000" "0.000" "0.000" "0.000" "Normal"
"TCGA-BH-A0BA" "Control" "0.138" "0.010" "0.115" "0.030" "0.029" "0.024" "Normal"
"TCGA-BH-A0BC" "Control" "0.000" "0.149" "0.003" "0.002" "0.002" "0.001" "Normal"
"TCGA-BH-A0BJ" "Control" "0.115" "0.133" "0.008" "0.144" "0.146" "0.143" "Normal"
"TCGA-BH-A0BM" "Control" "0.077" "0.141" "0.003" "0.143" "0.142" "0.144" "Normal"
"TCGA-BH-A0BS" "Control" "0.177" "0.003" "0.045" "0.081" "0.089" "0.089" "Normal"
"TCGA-BH-A0DH" "Control" "0.000" "0.007" "0.000" "0.000" "0.000" "0.000" "Normal"
"TCGA-BH-A0DK" "Control" "0.137" "0.227" "0.000" "0.173" "0.175" "0.174" "Normal"
"TCGA-BH-A0DP" "Control" "0.005" "0.001" "0.000" "0.002" "0.002" "0.001" "Normal"
"TCGA-BH-A0DQ" "Control" "0.071" "0.107" "0.000" "0.023" "0.020" "0.024" "Normal"
"TCGA-BH-A0E1" "Control" "0.011" "0.012" "0.001" "0.036" "0.042" "0.042" "Normal"
"TCGA-BH-A0H7" "Control" "0.200" "0.216" "0.038" "0.190" "0.192" "0.188" "Normal"
"TCGA-BH-A0H9" "Control" "0.000" "0.001" "0.000" "0.000" "0.000" "0.000" "Normal"
"TCGA-BH-A0HA" "Control" "0.226" "0.000" "0.014" "0.115" "0.104" "0.116" "Normal"
"TCGA-BH-A0HK" "Control" "0.047" "0.020" "0.002" "0.077" "0.085" "0.061" "Normal"
"TCGA-BH-A1EO" "Control" "0.001" "0.017" "0.013" "0.010" "0.013" "0.009" "Normal"
"TCGA-BH-A1ET" "Control" "0.000" "0.000" "0.001" "0.000" "0.000" "0.000" "Normal"
"TCGA-BH-A1EU" "Control" "0.017" "0.000" "0.028" "0.001" "0.001" "0.001" "Normal"
"TCGA-E2-A15I" "Control" "0.000" "0.000" "0.000" "0.000" "0.000" "0.000" "Normal"
